Station ID,Complex ID,GTFS Stop ID,Division,Line,STATION,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label
254,254,F01,IND,Queens Blvd,JAMAICA 179 ST,Q,F,Subway,40.712646,-73.783817,,Manhattan
278,278,G05,IND,Queens - Archer,JAMAICA CENTER,Q,E J Z,Subway,40.702147,-73.801109,,Manhattan
280,280,G07,IND,Queens - Archer,JAMAICA VAN WK,Q,E,Subway,40.702566,-73.816859,Jamaica Center,Manhattan
174,636,A41,IND,8th Av - Fulton St,JAY ST-METROTEC,Bk,A C F,Subway,40.692338,-73.987342,Manhattan,Euclid - Lefferts - Rockaways - Coney Island
25,636,R29,BMT,Broadway,JAY ST-METROTEC,Bk,R,Subway,40.69218,-73.985942,Manhattan,Bay Ridge - 95 St
508,508,S24,SIR,Staten Island,JEFFERSON AV,SI,SIR,Embankment,40.583591,-74.103338,St George,Tottenville
126,126,L15,BMT,Canarsie,JEFFERSON ST,Bk,L,Subway,40.706607,-73.922913,Manhattan,Canarsie - Rockaway Parkway
267,616,G14,IND,Queens Blvd,JKSN HT-ROOSVLT,Q,E F M R,Subway,40.746644,-73.891338,Forest Hills - Jamaica,Manhattan
451,451,707,IRT,Flushing,JUNCTION BLVD,Q,7,Elevated,40.749145,-73.869527,Flushing,Manhattan
349,349,254,IRT,Eastern Pky,JUNIUS ST,Bk,3,Elevated,40.663515,-73.902447,Manhattan,New Lots
259,259,F06,IND,Queens Blvd,KEW GARDENS,Q,E F,Subway,40.714441,-73.831008,Jamaica,Manhattan
250,250,F35,IND,6th Av - Culver,KINGS HWY,Bk,F,Elevated,40.603217,-73.972361,Manhattan,Coney Island
51,51,D35,BMT,Broadway - Brighton,KINGS HWY,Bk,B Q,Open Cut,40.60867,-73.957734,Manhattan,Brighton Beach & Coney Island
77,77,N08,BMT,Sea Beach,KINGS HWY,Bk,N,Open Cut,40.603923,-73.980353,Manhattan,Coney Island
212,212,D04,IND,Concourse,KINGSBRIDGE RD,Bx,B D,Subway,40.866978,-73.893509,Bedford Pk Blvd & 205 St,Manhattan
381,381,406,IRT,Jerome Av,KINGSBRIDGE RD,Bx,4,Elevated,40.86776,-73.897174,Woodlawn,Manhattan
344,344,249,IRT,Eastern Pky,KINGSTON AV,Bk,3,Subway,40.669399,-73.942161,Manhattan,New Lots
180,180,A47,IND,8th Av - Fulton St,KINGSTON-THROOP,Bk,C,Subway,40.679921,-73.940858,Manhattan,Euclid Av
113,113,M09,BMT,Myrtle Av,KNICKERBOCKER,Bk,M,Elevated,40.698664,-73.919711,Manhattan,Metropolitan Av
96,96,J31,BMT,Jamaica,KOSCIUSZKO ST,Bk,J,Elevated,40.693342,-73.928814,Jamaica,Manhattan
176,176,A43,IND,8th Av - Fulton St,LAFAYETTE AV,Bk,C,Subway,40.686113,-73.973946,Manhattan,Euclid Av
275,612,F11,IND,Queens Blvd,LEXINGTON AV/53,M,E M,Subway,40.757552,-73.969055,Queens,Downtown & Brooklyn
7,613,R11,BMT,Astoria,LEXINGTON AV/59 ST,M,N W R,Subway,40.76266,-73.967258,Queens,Downtown & Brooklyn
223,223,B08,IND,63rd St,LEXINGTON AV/63,M,F Q,Subway,40.764629,-73.966113,Uptown - Queens,Downtown & Brooklyn
185,185,A52,IND,8th Av - Fulton St,LIBERTY AV,Bk,C,Subway,40.674542,-73.896548,Manhattan,Euclid Av
135,135,L26,BMT,Canarsie,LIVONIA AV,Bk,L,Elevated,40.664038,-73.900571,Manhattan,Canarsie - Rockaway Parkway
